"cover","elev","tci","streamdist","disturb","beers"
0,826.9,9.59527683,182.5,"VIRGIN",0.11288474
0,878.1,4.22118807,269.3,"VIRGIN",0.13745199
0,856.9,5.56587315,274.6,"VIRGIN",0.30356991
0,878.6,6.75739098,332.4,"VIRGIN",1.46386683
0,760.3,4.44317198,214.7,"LT-SEL",1.91494739
0,825.1,4.45061207,282.3,"LT-SEL",1.53021932
0,752.1,5.68210793,138.9,"LT-SEL",1.65333867
0,824.8,5.79534483,276.6,"LT-SEL",1.82273567
0,695.6,6.24271822,50,"LT-SEL",0.1771037
0,724,4.81555891,72.11,"LT-SEL",0.03945449
0,691.6,6.29905796,31.62,"LT-SEL",0.33384511
0,923.3,8.2226429,36.06,"LT-SEL",1.63545263
0,989.1,5.10037804,41.23,"VIRGIN",1.54630566
0,981,4.91572905,310,"LT-SEL",1.92202568
0,1047,4.76592207,344.8,"LT-SEL",1.94910014
0,867.9,5.78856421,131.5,"LT-SEL",0.53635287
0,973.9,3.94396496,319.1,"VIRGIN",1.76937187
0,915.3,4.63796282,171.2,"LT-SEL",0.78173882
0,1033,4.89828014,278.6,"VIRGIN",0.26273644
0,1051,3.08675504,491.6,"LT-SEL",1.2250576
0,1005,4.36587381,457.1,"LT-SEL",1.99468899
0,1157,5.75363302,444.1,"LT-SEL",1.46871626
0,1165,5.27576399,331.1,"LT-SEL",1.08037329
0,1283,4.98792124,673.6,"VIRGIN",1.97966194
0,1028,4.96405697,348.3,"LT-SEL",1.30823386
0,1275,4.13609505,651.9,"LT-SEL",1.96844995
0,1007,5.69545317,500,"LT-SEL",1.952703
0,1393,6.08504391,76.16,"CORPLOG",0.29393318
0,1286,4.80725813,10,"LT-SEL",1.67781508
0,1396,8.39704895,78.1,"LT-SEL",1.32250762
0,1284,5.14679289,89.44,"LT-SEL",1.53657448
0,1320,5.52011299,530,"LT-SEL",0.963054
0,1279,5.06663322,414.4,"LT-SEL",1.39586651
0,1159,5.15753603,10,"LT-SEL",1.95637286
0,1465,6.14551592,418.7,"LT-SEL",0.95668566
0,1460,5.9261899,192.4,"LT-SEL",1.6067884
0,1476,5.97225285,241.7,"LT-SEL",1.46226454
0,1333,5.41245985,376.4,"LT-SEL",1.9929235
0,1285,4.06960106,359,"CORPLOG",0.24998972
0,1344,3.04050398,398.2,"CORPLOG",1.58515894
0,1355,4.00562286,222,"CORPLOG",1.83770108
0,1452,4.950315,537.6,"LT-SEL",1.95199656
0,1437,6.04887581,639.8,"LT-SEL",1.99647951
0,1354,4.79413795,800.1,"VIRGIN",1.7581048
0,1484,4.34440899,431.4,"LT-SEL",1.06843638
0,1355,5.36137199,575.6,"VIRGIN",1.95467317
0,1350,5.47129107,701.1,"VIRGIN",1.92324829
0,795.7,4.36413383,161.2,"VIRGIN",1.10318363
0,837.6,4.87984896,196.5,"VIRGIN",0.72863096
0,980.8,5.23787689,103,"VIRGIN",0.0200501
0,975.6,5.42997122,225.6,"VIRGIN",0.01604473
0,1085,4.38513994,250.8,"VIRGIN",0.0084945
0,1083,3.96842194,350,"VIRGIN",0.02346547
0,895.5,4.55552483,266.8,"VIRGIN",0.1705413
0,1032,4.56351089,230.9,"VIRGIN",0.23542055
0,1045,4.07218313,165.5,"VIRGIN",1.50721908
0,661,4.78554678,14.14,"LT-SEL",1.99999857
0,1208,4.45285082,323.1,"VIRGIN",0.69308567
0,1194,5.44546223,262.5,"VIRGIN",1.3294394
0,1270,4.32390404,378.5,"LT-SEL",1.34111524
0,1145,5.5572629,70.71,"VIRGIN",1.75546396
0,1026,4.5679822,222,"VIRGIN",1.75454366
0,1094,4.97013807,339.4,"VIRGIN",1.48460436
0,787.8,6.21430588,50,"LT-SEL",0.71642709
